example_id,filename,title,code
40,example_40.py,Health check passing,"# Example 40: Health check passing (probe-aligned)


def health_probe():
    healthy = True
    unhealthy = False
    if healthy:
        print(""Service up."")
    print(unhealthy)


health_probe()
"
41,example_41.py,Dark mode saved,"# Example 41: Dark mode saved (probe-aligned)


def settings_save():
    saved_ok = True
    save_failed = False
    if saved_ok:
        print(""Preferences saved."")
    print(save_failed)


settings_save()
"
42,example_42.py,Search index fresh,"# Example 42: Search index fresh (probe-aligned)


def search_index():
    index_ready = True
    index_stale = False
    if index_ready:
        print(""Search ready."")
    print(index_stale)


search_index()
"
43,example_43.py,License seat available,"# Example 43: License seat available (probe-aligned)


def license_check():
    seat_free = True
    seat_full = False
    if seat_free:
        print(""Seat assigned."")
    print(seat_full)


license_check()
"
44,example_44.py,GDPR consent recorded,"# Example 44: GDPR consent recorded (probe-aligned)


def consent_flow():
    consent_given = True
    consent_withdrawn = False
    if consent_given:
        print(""Consent on file."")
    print(consent_withdrawn)


consent_flow()
"
45,example_45.py,Experiment arm A,"# Example 45: Experiment arm A (probe-aligned)


def ab_test():
    in_treatment = True
    in_control = False
    if in_treatment:
        print(""Showing variant A."")
    print(in_control)


ab_test()
"
46,example_46.py,Signed URL not expired,"# Example 46: Signed URL not expired (probe-aligned)


def signed_url():
    url_valid = True
    url_expired = False
    if url_valid:
        print(""Download allowed."")
    print(url_expired)


signed_url()
"
47,example_47.py,Retry budget left,"# Example 47: Retry budget left (probe-aligned)


def retry_policy():
    retries_left = True
    retries_exhausted = False
    if retries_left:
        print(""Retrying request."")
    print(retries_exhausted)


retry_policy()
"
48,example_48.py,Schema migration applied,"# Example 48: Schema migration applied (probe-aligned)


def migration():
    migrated = True
    rolled_back = False
    if migrated:
        print(""DB schema v2."")
    print(rolled_back)


migration()
"
49,example_49.py,Inbox zero,"# Example 49: Inbox zero (probe-aligned)


def inbox_state():
    has_unread = True
    all_read = False
    if has_unread:
        print(""Showing unread."")
    print(all_read)


inbox_state()
"
50,example_50.py,Sandbox mode,"# Example 50: Sandbox mode (probe-aligned)


def sandbox_run():
    dry_run = True
    live_mode = False
    if dry_run:
        print(""No side effects."")
    print(live_mode)


sandbox_run()
"
51,example_51.py,Audit log enabled,"# Example 51: Audit log enabled (probe-aligned)


def audit_config():
    audit_on = True
    audit_off = False
    if audit_on:
        print(""Events logged."")
    print(audit_off)


audit_config()
"
52,example_52.py,Read replica lag OK,"# Example 52: Read replica lag OK (probe-aligned)


def replica_lag():
    lag_ok = True
    lag_high = False
    if lag_ok:
        print(""Read from replica."")
    print(lag_high)


replica_lag()
"
53,example_53.py,Quota not exceeded,"# Example 53: Quota not exceeded (probe-aligned)


def quota_check():
    under_quota = True
    over_quota = False
    if under_quota:
        print(""API call allowed."")
    print(over_quota)


quota_check()
"
54,example_54.py,Maintenance window closed,"# Example 54: Maintenance window closed (probe-aligned)


def maintenance():
    ops_normal = True
    in_maintenance = False
    if ops_normal:
        print(""Traffic accepted."")
    print(in_maintenance)


maintenance()
"
55,example_55.py,Invite accepted,"# Example 55: Invite accepted (probe-aligned)


def invite_flow():
    accepted = True
    pending = False
    if accepted:
        print(""User joined team."")
    print(pending)


invite_flow()
"
56,example_56.py,Bot detection passed,"# Example 56: Bot detection passed (probe-aligned)


def bot_check():
    human = True
    bot_suspected = False
    if human:
        print(""Captcha skipped."")
    print(bot_suspected)


bot_check()
"
57,example_57.py,E-signature valid,"# Example 57: E-signature valid (probe-aligned)


def signature_verify():
    sig_valid = True
    sig_invalid = False
    if sig_valid:
        print(""Contract binding."")
    print(sig_invalid)


signature_verify()
"
58,example_58.py,Stock in warehouse,"# Example 58: Stock in warehouse (probe-aligned)


def inventory():
    in_stock = True
    out_of_stock = False
    if in_stock:
        print(""Ship today."")
    print(out_of_stock)


inventory()
"
59,example_59.py,Promo code active,"# Example 59: Promo code active (probe-aligned)


def promo_apply():
    promo_valid = True
    promo_expired = False
    if promo_valid:
        print(""Discount applied."")
    print(promo_expired)


promo_apply()
"
60,example_60.py,Geofence match,"# Example 60: Geofence match (probe-aligned)


def location_gate():
    inside_zone = True
    outside_zone = False
    if inside_zone:
        print(""Local pricing."")
    print(outside_zone)


location_gate()
"
61,example_61.py,Deduplication window open,"# Example 61: Deduplication window open (probe-aligned)


def dedupe():
    is_new = True
    is_dup = False
    if is_new:
        print(""Insert row."")
    print(is_dup)


dedupe()
"
62,example_62.py,Fraud score low,"# Example 62: Fraud score low (probe-aligned)


def fraud_screen():
    low_risk = True
    high_risk = False
    if low_risk:
        print(""Order approved."")
    print(high_risk)


fraud_screen()
"
63,example_63.py,SLA met,"# Example 63: SLA met (probe-aligned)


def sla_timer():
    on_time = True
    breached = False
    if on_time:
        print(""Within SLA."")
    print(breached)


sla_timer()
"
64,example_64.py,WAF allowlist hit,"# Example 64: WAF allowlist hit (probe-aligned)


def waf_rule():
    allowed = True
    blocked = False
    if allowed:
        print(""Request forwarded."")
    print(blocked)


waf_rule()
"
65,example_65.py,Cold start warmed,"# Example 65: Cold start warmed (probe-aligned)


def lambda_warm():
    warm = True
    cold = False
    if warm:
        print(""Fast response."")
    print(cold)


lambda_warm()
"
66,example_66.py,Entitlement granted,"# Example 66: Entitlement granted (probe-aligned)


def entitlement():
    entitled = True
    denied = False
    if entitled:
        print(""Feature unlocked."")
    print(denied)


entitlement()
"
67,example_67.py,Sync conflict absent,"# Example 67: Sync conflict absent (probe-aligned)


def sync_merge():
    clean = True
    conflict = False
    if clean:
        print(""Devices in sync."")
    print(conflict)


sync_merge()
"
68,example_68.py,Root device jailbroken check,"# Example 68: Root device jailbroken check (probe-aligned)


def device_trust():
    trusted = True
    compromised = False
    if trusted:
        print(""App runs normally."")
    print(compromised)


device_trust()
"
69,example_69.py,Budget cap not reached,"# Example 69: Budget cap not reached (probe-aligned)


def spend_cap():
    within_budget = True
    cap_hit = False
    if within_budget:
        print(""Spend OK."")
    print(cap_hit)


spend_cap()
"
70,example_70.py,Hold harmless signed,"# Example 70: Hold harmless signed (probe-aligned)


def legal_hold():
    waiver_ok = True
    waiver_missing = False
    if waiver_ok:
        print(""Proceed with deploy."")
    print(waiver_missing)


legal_hold()
"
71,example_71.py,Peer review approved,"# Example 71: Peer review approved (probe-aligned)


def code_review():
    approved = True
    changes_requested = False
    if approved:
        print(""Merge allowed."")
    print(changes_requested)


code_review()
"
72,example_72.py,Sampling included user,"# Example 72: Sampling included user (probe-aligned)


def trace_sample():
    sampled_in = True
    sampled_out = False
    if sampled_in:
        print(""Trace recorded."")
    print(sampled_out)


trace_sample()
"
73,example_73.py,Kill switch disarmed,"# Example 73: Kill switch disarmed (probe-aligned)


def kill_switch():
    live_traffic = True
    emergency_stop = False
    if live_traffic:
        print(""Serving users."")
    print(emergency_stop)


kill_switch()
"
74,example_74.py,Data residency OK,"# Example 74: Data residency OK (probe-aligned)


def data_region():
    region_ok = True
    region_violation = False
    if region_ok:
        print(""Store in EU."")
    print(region_violation)


data_region()
"
75,example_75.py,Blue-green cutover ready,"# Example 75: Blue-green cutover ready (probe-aligned)


def traffic_shift():
    ready = True
    not_ready = False
    if ready:
        print(""Switch traffic."")
    print(not_ready)


traffic_shift()
"
76,example_76.py,,"# Example 76: Multi-step pipeline with helpers (still probe-aligned on literal bools)

from typing import List

PIPELINE_STAGES = (""ingest"", ""transform"", ""publish"")


def tokenize_path(parts: List[str]) -> str:
    return ""/"".join(p.strip() for p in parts if p)


def pipeline_status():
    """"""Simulate a batch job: helpers run first; probe sites stay simple literal bools.""""""
    raw = [""  alpha "", """", ""beta""]
    path = tokenize_path(raw)
    stage_count = len(PIPELINE_STAGES)

    if len(path) < stage_count:
        _ = path.upper()

    completed = True
    stalled = False

    if completed:
        print(""pipeline_ok"", path, stage_count)
    print(stalled)


pipeline_status()
"
77,example_77.py,,"# Example 77: Nested conditionals reading flags assigned earlier in the same function

def authorization_matrix():
    user_tier = ""pro""
    limits = {""pro"": 100, ""free"": 10}
    cap = limits.get(user_tier, 0)

    allow_write = True
    read_only = False

    if allow_write:
        if cap > 50:
            print(""write_heavy"", cap)
        else:
            print(""write_light"", cap)
    if read_only is False:
        print(""not_read_only"")


authorization_matrix()
"
78,example_78.py,,"# Example 78: Class with utilities; probe lives in a dedicated method

class RateLimiter:
    def __init__(self, burst: int) -> None:
        self.burst = max(1, burst)
        self.tokens = burst

    def refill(self, n: int) -> None:
        self.tokens = min(self.burst, self.tokens + n)


def client_simulation():
    limiter = RateLimiter(5)
    for _ in range(3):
        limiter.refill(1)

    under_limit = True
    throttled = False

    if under_limit:
        print(""dispatch"", limiter.tokens)
    print(throttled)


client_simulation()
"
79,example_79.py,,"# Example 79: Enum-like strings + arithmetic noise before boolean probe

SEVERITY = {""info"": 1, ""warn"": 2, ""crit"": 3}


def incident_router():
    label = ""warn""
    score = 10 + SEVERITY[label] * 3
    budget = score // 2

    page_oncall = True
    suppress_alert = False

    if page_oncall:
        print(""page"", budget)
    print(suppress_alert)


incident_router()
"
80,example_80.py,,"# Example 80: List building and membership checks unrelated to probe variables

def feature_rollout():
    cohorts = []
    for name in (""alpha"", ""beta"", ""gamma""):
        cohorts.append(name[:2].upper())
    cohorts.sort()

    beta_live = True
    gamma_off = False

    if beta_live:
        print(""cohorts"", cohorts)
    print(gamma_off)


feature_rollout()
"
81,example_81.py,,"# Example 81: Dict merge pattern + walrus-free guard clauses

DEFAULTS = {""timeout_ms"": 500, ""retries"": 2}


def merge_config(overrides):
    cfg = dict(DEFAULTS)
    for k, v in overrides.items():
        if k in cfg:
            cfg[k] = v
    return cfg


def http_client_stub():
    cfg = merge_config({""retries"": 1})
    _ = sum(cfg.values())

    tls_required = True
    plaintext_ok = False

    if tls_required:
        print(""https_only"", cfg[""timeout_ms""])
    print(plaintext_ok)


http_client_stub()
"
82,example_82.py,,"# Example 82: Recursive-style counter flattened to a loop (no real recursion)

def factorial_shape(n: int) -> int:
    acc = 1
    k = n
    while k > 1:
        acc *= k
        k -= 1
    return acc


def experiment_flags():
    n = 4
    baseline = factorial_shape(n)

    hypothesis_holds = True
    null_case = False

    if hypothesis_holds:
        print(""n!"", baseline)
    print(null_case)


experiment_flags()
"
83,example_83.py,,"# Example 83: Generator expression consumed into sum, then literal flags

def load_factor():
    slots = range(6)
    utilization = sum((i % 3) / 10.0 for i in slots)

    capacity_ok = True
    saturated = False

    if capacity_ok:
        print(""util"", round(utilization, 3))
    print(saturated)


load_factor()
"
84,example_84.py,,"# Example 84: Tuple of ints zipped with labels (probe still literal bool)

def pair_scan():
    xs = (1, 2, 3, 4)
    ys = (10, 20, 30, 40)
    pairs = list(zip(xs, ys))
    checksum = sum(a * b for a, b in pairs)

    primary_leader = True
    standby = False

    if primary_leader:
        print(""checksum"", checksum)
    print(standby)


pair_scan()
"
85,example_85.py,,"# Example 85: String builder loop then branch on literal flags

def log_batch_formatter():
    lines = []
    for i in range(4):
        lines.append(f""evt_{i}={i * i}"")
    blob = ""|"".join(lines)

    emit_logs = True
    silent = False

    if emit_logs:
        print(""batch"", len(blob))
    print(silent)


log_batch_formatter()
"
86,example_86.py,,"# Example 86: Nested functions — only outer driver holds probe (inner cannot export bool env)

def outer_driver():
    def inner_metric(x: int) -> int:
        return x * x + 1

    samples = [inner_metric(i) for i in range(5)]
    avg = sum(samples) / len(samples)

    promote_build = True
    hold_merge = False

    if promote_build:
        print(""avg_metric"", round(avg, 2))
    print(hold_merge)


outer_driver()
"
87,example_87.py,,"# Example 87: Set operations and sorting before probe

def dedupe_ids():
    raw = [3, 1, 2, 3, 2, 1, 4]
    unique = sorted(set(raw))
    span = unique[-1] - unique[0]

    consistent = True
    drift = False

    if consistent:
        print(""span"", span)
    print(drift)


dedupe_ids()
"
88,example_88.py,,"# Example 88: Simulated matrix trace (square lists)

def trace_of_square(n: int) -> int:
    return sum((i + i * n) for i in range(n))


def shard_router():
    dim = 3
    t = trace_of_square(dim)

    route_primary = True
    route_backup = False

    if route_primary:
        print(""trace"", t)
    print(route_backup)


shard_router()
"
89,example_89.py,,"# Example 89: Clock-style modular arithmetic unrelated to flags

def schedule_tick():
    hours = list(range(24))
    rotated = [hours[(i + 7) % 24] for i in range(5)]

    business_open = True
    after_hours = False

    if business_open:
        print(""window"", rotated)
    print(after_hours)


schedule_tick()
"
90,example_90.py,,"# Example 90: JSON-ish manual dict tree (no json import)

def policy_tree():
    tree = {
        ""root"": {""a"": 1, ""b"": {""c"": 2}},
        ""meta"": {""v"": 9},
    }
    flat_keys = []
    for k, v in tree.items():
        flat_keys.append(k)
        if isinstance(v, dict):
            flat_keys.extend(v.keys())

    enforce = True
    audit_only = False

    if enforce:
        print(""keys"", len(flat_keys))
    print(audit_only)


policy_tree()
"
91,example_91.py,,"# Example 91: Manual run-length style encoding (lists only)

def rle_length(s: str) -> int:
    if not s:
        return 0
    runs = 1
    prev = s[0]
    for ch in s[1:]:
        if ch != prev:
            runs += 1
            prev = ch
    return runs


def stream_ingestor():
    payload = ""aaabbcaaa""
    runs = rle_length(payload)

    durable = True
    ephemeral = False

    if durable:
        print(""runs"", runs)
    print(ephemeral)


stream_ingestor()
"
92,example_92.py,,"# Example 92: Priority queue simulation with sorted list (no heapq)

def pop_lowest(pairs):
    pairs.sort(key=lambda p: p[0])
    return pairs.pop(0) if pairs else None


def scheduler_tick():
    jobs = [(5, ""a""), (1, ""b""), (3, ""c"")]
    first = pop_lowest(jobs)
    second = pop_lowest(jobs)

    preempt = True
    fair = False

    if preempt:
        print(""next"", first, second)
    print(fair)


scheduler_tick()
"
93,example_93.py,,"# Example 93: Bit-style mask using ints (not bool probe targets)

def apply_mask(value: int, mask: int) -> int:
    return value & mask


def firmware_gate():
    raw = 0b101010
    masked = apply_mask(raw, 0b111100)
    nibbles = masked >> 2

    signed = True
    unsigned = False

    if signed:
        print(""masked"", nibbles)
    print(unsigned)


firmware_gate()
"
94,example_94.py,,"# Example 94: Cartesian product trimmed

def small_grid():
    xs = (1, 2)
    ys = (10, 20, 30)
    cells = [(x, y) for x in xs for y in ys if x + y < 32]

    visualize = True
    skip_render = False

    if visualize:
        print(""cells"", len(cells))
    print(skip_render)


small_grid()
"
95,example_95.py,,"# Example 95: Sliding window sum of constant width

def window_sums(values, width: int):
    out = []
    if width <= 0 or len(values) < width:
        return out
    s = sum(values[:width])
    out.append(s)
    for i in range(width, len(values)):
        s += values[i] - values[i - width]
        out.append(s)
    return out


def sensor_fusion():
    series = [1, 2, 3, 2, 1, 0, 2, 4]
    sums = window_sums(series, 3)

    fuse = True
    raw_only = False

    if fuse:
        print(""windows"", sums)
    print(raw_only)


sensor_fusion()
"
96,example_96.py,,"# Example 96: Abstract-ish repository without I/O

class InMemoryRepo:
    def __init__(self):
        self._rows = {}

    def put(self, key: str, val: int) -> None:
        self._rows[key] = val

    def total(self) -> int:
        return sum(self._rows.values())


def service_layer():
    repo = InMemoryRepo()
    for k, v in ((""a"", 1), (""b"", 2), (""c"", 3)):
        repo.put(k, v)
    t = repo.total()

    commit = True
    rollback = False

    if commit:
        print(""total"", t)
    print(rollback)


service_layer()
"
97,example_97.py,,"# Example 97: Argmax without numpy

def argmax(values):
    best_i = 0
    best_v = values[0]
    for i, v in enumerate(values[1:], start=1):
        if v > best_v:
            best_v = v
            best_i = i
    return best_i, best_v


def autoscale_hint():
    load = [2, 7, 3, 9, 1]
    idx, peak = argmax(load)

    scale_up = True
    scale_down = False

    if scale_up:
        print(""hot_shard"", idx, peak)
    print(scale_down)


autoscale_hint()
"
98,example_98.py,,"# Example 98: Levenshtein-light: Hamming on equal-length chunks

def hamming(a: str, b: str) -> int:
    return sum(1 for x, y in zip(a, b) if x != y)


def diff_monitor():
    left = ""1100101""
    right = ""1000111""
    dist = hamming(left, right)

    alert = True
    quiet = False

    if alert:
        print(""distance"", dist)
    print(quiet)


diff_monitor()
"
99,example_99.py,,"# Example 99: Topological order fake on DAG dict

def topo_sort(graph):
    order = []
    seen = set()

    def visit(node):
        if node in seen:
            return
        seen.add(node)
        for nxt in graph.get(node, ()):
            visit(nxt)
        order.append(node)

    for node in graph:
        visit(node)
    return order[::-1]


def workflow_engine():
    g = {""build"": (""test"",), ""test"": (""deploy"",), ""deploy"": ()}
    plan = topo_sort(g)

    auto_advance = True
    manual_gate = False

    if auto_advance:
        print(""plan"", plan)
    print(manual_gate)


workflow_engine()
"
100,example_100.py,,"# Example 100: Mini state machine with dict transitions (ints as states)

TRANSITIONS = {
    0: {(""tick"",): 1},
    1: {(""tick"",): 2, (""reset"",): 0},
    2: {(""reset"",): 0},
}


def run_machine(events):
    state = 0
    log = [state]
    for ev in events:
        key = (ev,)
        nxt = TRANSITIONS.get(state, {}).get(key)
        if nxt is None:
            continue
        state = nxt
        log.append(state)
    return log


def operator_console():
    trace = run_machine([""tick"", ""tick"", ""reset"", ""tick""])

    green = True
    red = False

    if green:
        print(""trace"", trace)
    print(red)


operator_console()
"
101,example_101.py,Cache hit path,"# Example 101: Cache hit path (probe-aligned)


def cache_lookup():
    hit = True
    miss = False
    if hit:
        print(""served_from_cache"")
    print(miss)


cache_lookup()
"
102,example_102.py,Feature toggle enabled,"# Example 102: Feature toggle enabled (probe-aligned)


def feature_gate():
    enabled = True
    disabled = False
    if enabled:
        print(""new_ui_active"")
    print(disabled)


feature_gate()
"
103,example_103.py,Subscription active,"# Example 103: Subscription active (probe-aligned)


def billing_status():
    subscribed = True
    churned = False
    if subscribed:
        print(""renewal_ok"")
    print(churned)


billing_status()
"
104,example_104.py,File exists check,"# Example 104: File exists check (probe-aligned)


def export_report():
    file_present = True
    missing = False
    if file_present:
        print(""attachment_ready"")
    print(missing)


export_report()
"
105,example_105.py,Retry budget left,"# Example 105: Retry budget left (probe-aligned)


def http_client():
    can_retry = True
    exhausted = False
    if can_retry:
        print(""backoff_then_retry"")
    print(exhausted)


http_client()
"
106,example_106.py,Admin role,"# Example 106: Admin role (probe-aligned)


def authorize():
    is_admin = True
    is_guest = False
    if is_admin:
        print(""grant_full_access"")
    print(is_guest)


authorize()
"
107,example_107.py,Two-factor verified,"# Example 107: Two-factor verified (probe-aligned)


def login_flow():
    mfa_ok = True
    mfa_pending = False
    if mfa_ok:
        print(""session_issued"")
    print(mfa_pending)


login_flow()
"
108,example_108.py,Quota under limit,"# Example 108: Quota under limit (probe-aligned)


def rate_limit():
    under_cap = True
    over_cap = False
    if under_cap:
        print(""request_allowed"")
    print(over_cap)


rate_limit()
"
109,example_109.py,Build passed CI,"# Example 109: Build passed CI (probe-aligned)


def ci_pipeline():
    green = True
    broken = False
    if green:
        print(""deploy_candidate"")
    print(broken)


ci_pipeline()
"
110,example_110.py,Leader election,"# Example 110: Leader election (probe-aligned)


def cluster_role():
    is_leader = True
    is_follower = False
    if is_leader:
        print(""accept_writes"")
    print(is_follower)


cluster_role()
"
111,example_111.py,In-stock flag,"# Example 111: In-stock flag (probe-aligned)


def inventory():
    in_stock = True
    backordered = False
    if in_stock:
        print(""ship_today"")
    print(backordered)


inventory()
"
112,example_112.py,Dark mode preference,"# Example 112: Dark mode preference (probe-aligned)


def theme_pref():
    dark_mode = True
    light_mode = False
    if dark_mode:
        print(""palette_night"")
    print(light_mode)


theme_pref()
"
113,example_113.py,Email verified,"# Example 113: Email verified (probe-aligned)


def onboarding():
    verified = True
    unverified = False
    if verified:
        print(""unlock_dashboard"")
    print(unverified)


onboarding()
"
114,example_114.py,GPU available,"# Example 114: GPU available (probe-aligned)


def device_pick():
    use_gpu = True
    use_cpu_only = False
    if use_gpu:
        print(""cuda_selected"")
    print(use_cpu_only)


device_pick()
"
